0,1,2,3
0,0,0,0.068801303
0.000638145,0.00401551,0.00028148,0.070934219
0.005493394,0.009711295,0.004139987,0.103522793
0.010576522,0.011735948,0.010723582,0.074775102
0.013219937,0.013055226,0.012843945,0.069223858
0.013616185,0.014221307,0.013667648,0.069766106
0.015992526,0.015407219,0.016291556,0.079274715
0.017530024,0.015204028,0.016095374,0.069174138
0.017145363,0.034583606,0.016633626,0.155427915
0.035601062,0.045621022,0.031952063,0.178482378
0.034117637,0.039838514,0.034822303,0.107393372
0.041946603,0.042021809,0.041763704,0.094354869
0.044284035,0.045220644,0.042175041,0.116035118
0.040849555,0.038819484,0.03653427,0.110940503
0.040532128,0.040522243,0.040065414,0.102128676
0.041922571,0.04887013,0.042270338,0.123828751
0.048643045,0.05769632,0.046896517,0.159748802
0.059581053,0.057156431,0.057111407,0.129982635
0.058299042,0.056676173,0.054434408,0.11300985
0.05330532,0.050445667,0.029994941,0.166255267
0.03540723,0.03912085,0.029660224,0.147451312
0.033700218,0.037919716,0.033651236,0.099227896
0.038353767,0.046090666,0.039280241,0.110503201
0.047864712,0.055120746,0.04889717,0.145339655
0.056400057,0.0538125,0.049099677,0.119238149
0.04937503,0.051038204,0.049069235,0.079890324
0.050180972,0.056136843,0.050912677,0.092590675
0.056030417,0.057359902,0.054973837,0.096830865
0.054965984,0.053678156,0.05265538,0.088474634
0.054898179,0.053435584,0.050189859,0.079413152
0.050392543,0.048343787,0.038844639,0.088783989
0.0421463,0.043242215,0.042380636,0.058331273
0.044964951,0.044513593,0.044698211,0.051554194
0.045510257,0.044237923,0.037692249,0.067009076
0.036752183,0.037441692,0.036190877,0.06291884
0.039062578,0.037261823,0.034912012,0.056086027
0.035227559,0.039766314,0.036014695,0.06599643
0.041737607,0.046235763,0.042158423,0.071333378
0.048730448,0.046899103,0.046433414,0.06661354
0.046944187,0.049248443,0.046649745,0.066057767
0.052090113,0.049177501,0.048104645,0.050245305
0.047488634,0.056014928,0.045626917,0.072449773
0.058487009,0.054509775,0.044697181,0.08418904
0.045220009,0.045079876,0.04501778,0.03975008
0.047376197,0.048801701,0.046138404,0.042666361
0.050277531,0.048360964,0.047529773,0.034656687
0.046546652,0.045795305,0.046244731,0.025078483
0.046318058,0.04547383,0.043712297,0.039196795
0.04800018,0.04567744,0.047463006,0.028082052
0.047907054,0.04621691,0.048459068,0.03530522
0.049025417,0.048013234,0.048655692,0.04154569
0.050574216,0.04881008,0.042446079,0.057173929
0.042792742,0.043215542,0.043290665,0.032732003
0.045280233,0.042761538,0.04470777,0.016798021
0.045218435,0.042554018,0.044279374,0.021527396
0.044115379,0.042709867,0.037681072,0.045305106
0.044027261,0.043676388,0.044093927,0.029151112
0.045546305,0.043023941,0.042980214,0.024994477
0.04513561,0.042406686,0.043499937,0.017465898
0.043970184,0.041286689,0.042550347,0.023419532
0.041858914,0.041161562,0.042011506,0.015508525
0.042636961,0.04127831,0.043178015,0.009823935
0.042154597,0.044934919,0.043238605,0.027551227
0.047263474,0.045083367,0.0470777,0.014854065
0.047587624,0.045788044,0.042530494,0.021454824
0.042780583,0.040548497,0.0394451,0.020326578
0.041644625,0.039963501,0.040444985,0.019669376
0.04048206,0.038604981,0.038054319,0.016271573
0.038145058,0.038408772,0.03759754,0.007614992
0.039819025,0.038850766,0.038872728,0.013573907
0.040439861,0.03842944,0.03973658,0.010972728
0.038588512,0.039358395,0.038652721,0.011779643
0.040467183,0.038480971,0.037488566,0.012855415
0.03811001,0.036971629,0.037455182,0.002517949
0.037071613,0.036385795,0.037352238,3.54E-05
0.037882991,0.035986395,0.035942339,0.001966808
0.036858039,0.039876499,0.0374393,0.017617459
0.042057896,0.039484919,0.040583813,0.005089285
0.041068707,0.041016885,0.041928415,0.023225449
0.04330157,0.040629075,0.041494872,0.018139752
0.041134224,0.038938885,0.039582016,0.014598851
0.041413314,0.039053957,0.040865587,0.003173169
0.040613809,0.03945629,0.040716023,0.007000394
0.04143706,0.038975474,0.041513108,0.016740756
0.04084555,0.039104092,0.040684404,0.018489717
0.040786756,0.038798397,0.039205092,0.011067529
0.038593089,0.036491092,0.037823871,0.010892915
0.038274088,0.036644986,0.038544335,0.005341423
0.038765321,0.037668624,0.038687575,0
0.038888058,0.037062541,0.038623897,0.002149397
0.039383296,0.03757436,0.039099353,0.004568928
0.038263074,0.039434086,0.038867875,0.017787133
0.041289862,0.041194939,0.041526932,0.012883929
0.043857747,0.041825182,0.043931863,0.017858239
0.044787856,0.042897977,0.043967011,0.012943928
0.044080618,0.044419608,0.044956749,0.013114862
0.04675436,0.050400699,0.047376239,0.025266747
0.051075033,0.073931248,0.052097862,0.070946585
0.071235597,0.071441419,0.066339499,0.050765872
0.069841721,0.073119739,0.070514928,0.037650791
0.072819157,0.071963712,0.071871443,0.032569575
0.074138791,0.076315221,0.073844007,0.033512601
0.078207267,0.083513366,0.078617102,0.042597316
0.086575674,0.087996566,0.074247402,0.046671214
0.072648785,0.076880247,0.074047249,0.024434458
0.076483089,0.075627722,0.075836865,0.026996417
0.074101169,0.08102242,0.075154196,0.036582132
0.083950569,0.083742951,0.083179897,0.033762203
0.085415112,0.084327528,0.081647494,0.033285371
0.083186254,0.083179881,0.084457732,0.015990107
0.085723527,0.08329188,0.084267873,0.015751147
0.084357974,0.087596188,0.086575301,0.042370452
0.087962111,0.084853731,0.075996282,0.044966588
0.078131594,0.079669207,0.077440594,0.038469633
0.080527247,0.08043114,0.075231846,0.04589681
0.083660178,0.087476787,0.084815244,0.03605968
0.084342811,0.08426301,0.086559712,0.033337394
0.0862026,0.083738622,0.085506443,0.02472389
0.086506295,0.090487093,0.086975608,0.048063053
0.092721231,0.089925279,0.088692575,0.040951633
0.086650775,0.083636398,0.084164341,0.036564873
0.083285817,0.081723466,0.084671857,0.023098188
0.084835188,0.081416514,0.081022621,0.034086521
0.079343225,0.077690639,0.078771666,0.023254093
0.081119043,0.078189889,0.08015024,0.017945027
0.080912623,0.079492549,0.082247073,0.02485531
0.083593517,0.080078662,0.074021954,0.041801771
0.075068471,0.074132205,0.075727891,0.029940013
0.076896074,0.074644024,0.072804708,0.032202425
0.073581612,0.073805004,0.075390821,0.02162331
0.077236389,0.074537191,0.077813694,0.014557348
0.07663043,0.076748836,0.07831621,0.021396463
0.080158179,0.077264565,0.079880526,0.028856986
0.078823811,0.082734815,0.079349185,0.044181557
0.084414336,0.080729015,0.073885332,0.046332342
0.073873434,0.071176782,0.05367306,0.058820454
0.053283577,0.057620769,0.053893361,0.052292305
0.057427297,0.05564276,0.048018318,0.09767545
0.050974612,0.051531728,0.050135593,0.073976354
0.053294878,0.052758139,0.047909491,0.063892159
0.055231484,0.055394182,0.04966543,0.064184132
0.052916797,0.052755905,0.05189815,0.035077684
0.053690982,0.055357174,0.054966631,0.128082493
0.056625074,0.05463169,0.053460259,0.099741261
0.057213152,0.057283653,0.056392119,0.073864463
0.058014945,0.057253907,0.055068693,0.073166798
0.055765775,0.061273607,0.056030489,0.069888873
0.06225222,0.063519047,0.063185132,0.061000531
0.06477204,0.066439139,0.064671504,0.055583094
0.067897819,0.066132466,0.066482445,0.077914947
