Date,Open,High,Low,Close,Adj Close,Volume
2020-06-24,13044.72363,13117.09082,12620.23438,12707.97461,12707.97461,25872351423
2020-06-25,12708.67871,12741.89551,12410.43359,12634.47168,12634.47168,25386798592
2020-06-26,12629.26563,12700.00977,12478.41992,12541.28516,12541.28516,25103964291
2020-06-27,12548.00098,12602.73047,12315.85938,12380.42676,12380.42676,23641682587
2020-06-28,12384.62793,12588.68262,12284.80176,12506.50977,12506.50977,19916227978
2020-06-29,12501.64941,12620.32617,12371.51074,12552.25293,12552.25293,22480712343
2020-06-30,12545.05176,12590.16309,12430.24707,12404.78027,12404.78027,21361266758
2020-07-01,12415.62891,12656.67676,12356.55469,12543.14063,12543.14063,21708531243
2020-07-02,12546.96484,12593.85059,12277.3916,12380.23926,12380.23926,22171501619
2020-07-03,12382.18359,12485.76856,12275.12012,12313.75098,12313.75098,17722659652
2020-07-04,12309.59082,12443.82422,12268.12109,12374.97754,12374.97754,16654280664
2020-07-05,12366.30957,12415.2168,12172.25,12296.14551,12296.14551,17485470182
2020-07-06,12294.66406,12693.7832,12274.03711,12693.7832,12693.7832,24220899641
2020-07-07,12658.15723,12665.73926,12487.85742,12588.00098,12588.00098,18829262545
2020-07-08,12589.01172,12775.43652,12579.29199,12745.56055,12745.56055,26634359375
2020-07-09,12745.10156,12747.66797,12549.81055,12599.85156,12599.85156,24445674056
2020-07-10,12593.58984,12626.64258,12419.74023,12614.86426,12614.86426,22921808506
2020-07-11,12613.10254,12634.88281,12507.02246,12556.24414,12556.24414,18004640807
2020-07-12,12557.20801,12663.69336,12496.85156,12613.80371,12613.80371,19651729174
2020-07-13,12614.7627,12629.25684,12551.05273,12580.09668,12580.09668,23843600753
2020-07-14,12573.41309,12638.46582,12494.70117,12571.09375,12571.09375,24596285149
2020-07-15,12569.30371,12616.5752,12394.10742,12417.10547,12417.10547,21402065194
2020-07-16,12415.94824,12451.35645,12300.19043,12394.21387,12394.21387,21326918152
2020-07-17,12393.64941,12462.38477,12349.18164,12428.27734,12428.27734,18937772921
2020-07-18,12427.99414,12535.67578,12358.91992,12437.97656,12437.97656,16639032803
2020-07-19,12436.57227,12492.27832,12354.58594,12469.28711,12469.28711,17564049329
2020-07-20,12471.19238,12528.92969,12386.91797,12395.2002,12395.2002,18605321210
2020-07-21,12392.87793,12662.10059,12371.18262,12604.20801,12604.20801,24293920504
2020-07-22,12604.46777,12788.19336,12551.98926,12781.58984,12781.58984,22183773152
2020-07-23,12783.97656,12833.32227,12715.52344,12843.04395,12843.04395,24324522006
2020-07-24,12848.99902,12910.13965,12717.91016,12796.07813,12796.07813,22209594136
2020-07-25,12799.55664,13019.09961,12785.20898,12982.2832,12982.2832,22283157610
2020-07-26,12986.4707,13447.38867,12949.72852,13288.44531,13288.44531,27512854690
2020-07-27,13288.51367,15132.35254,13270.78516,14662.375,14662.375,47171673941
2020-07-28,14697.84766,14954.05762,14239.18848,14600.2334,14600.2334,38486682473
2020-07-29,14600.40723,15074.24414,14523.10742,14809.40137,14809.40137,32842463658
2020-07-30,14808.55371,14991.45508,14615.34863,14902.14941,14902.14941,30655706597
2020-07-31,14900.80371,15303.05664,14749.48242,15186.41016,15186.41016,31061548225
2020-08-01,15185.20898,15818.50391,15074.04395,15771.31934,15771.31934,34971254848
2020-08-02,15770.20801,16139.53223,14776.91016,14809.83106,14809.83106,36724501598
2020-08-03,14796.64063,15343.51758,14763.29785,15064.87793,15064.87793,27154669667
2020-08-04,15064.68262,15253.82715,14884.99316,14900.92383,14900.92383,28257237015
2020-08-05,14898.17188,15640.13379,14838.56641,15582.91895,15582.91895,32382554329
2020-08-06,15586.69824,15834.93945,15384.30176,15690.24609,15690.24609,31168967107
2020-08-07,15689.0752,15876.80176,15280.10059,15529.15137,15529.15137,30963757388
2020-08-08,15533.27441,15794.62305,15471.19238,15733.02539,15733.02539,23520550857
2020-08-09,15710.64453,15802.64258,15458.2793,15633.23145,15633.23145,23417711747
2020-08-10,15615.17871,16110.85742,15615.17871,15862.41016,15862.41016,34873621577
2020-08-11,15867.13281,15914.47754,14895.83496,15187.80859,15187.80859,35990897086
2020-08-12,15179.91797,15543.23438,14994.03613,15342.79785,15342.79785,33194861402
2020-08-13,15347.39453,15597.78516,14843.84863,15581.5752,15581.5752,36391228285
2020-08-14,15566.39844,16102.31445,15495.49805,15614.34863,15614.34863,32157711558
2020-08-15,15614.11914,15872.17969,15614.11914,15742.81543,15742.81543,30986145948
2020-08-16,15744.125,15834.62988,15542.50293,15761.58106,15761.58106,27279229871
2020-08-17,15765.36328,16317.87305,15642.39648,16203.1377,16203.1377,37323494617
2020-08-18,16199.82422,16277.64356,15759.14941,15775.91797,15775.91797,34263017233
2020-08-19,15775.45996,15827.30859,15451.23828,15535.98535,15535.98535,32375127124
