Date,Short Volume,Total Volume
2019-07-26,251008,491499
2019-07-25,85281,167199
2019-07-24,56514,90833
2019-07-23,52700,74165
2019-07-22,54559,94119
2019-07-19,51632,92071
2019-07-18,43512,78440
2019-07-17,31445,52077
2019-07-16,46027,81993
2019-07-15,31112,54612
2019-07-12,46668,81796
2019-07-11,51167,86532
2019-07-10,64589,97492
2019-07-09,60226,102295
2019-07-08,62297,106731
2019-07-05,66609,128810
2019-07-03,34416,83545
2019-07-02,34129,83489
2019-07-01,44352,79061
2019-06-28,72250,125651
2019-06-27,57244,92654
2019-06-26,75146,127744
2019-06-25,61897,130277
2019-06-24,46199,75799
2019-06-21,88686,152838
2019-06-20,37024,72931
2019-06-19,38812,77454
2019-06-18,53510,101364
2019-06-17,24779,53774
2019-06-14,43022,84525
2019-06-13,35385,72807
2019-06-12,29671,63570
2019-06-11,48886,98526
2019-06-10,44108,82054
2019-06-07,54782,108889
2019-06-06,45210,74406
2019-06-05,69125,112483
2019-06-04,96025,164200
2019-06-03,160886,280197
2019-05-31,52144,88633
2019-05-30,39200,66708
2019-05-29,43888,96089
2019-05-28,34116,52247
2019-05-24,32921,51236
2019-05-23,44319,72914
2019-05-22,21558,34316
2019-05-21,37948,60897
2019-05-20,62148,92896
2019-05-17,55032,89283
2019-05-16,53420,92067
2019-05-15,71954,128316
2019-05-14,82049,115663
2019-05-13,66484,96475
2019-05-10,60426,100943
2019-05-09,50307,68594
2019-05-08,31993,58559
2019-05-07,59081,90930
2019-05-06,37301,63163
2019-05-03,68379,135122
2019-05-02,67369,116454
2019-05-01,104323,179297
2019-04-30,218127,345465
2019-04-29,90764,148337
2019-04-26,54052,84317
2019-04-25,55195,88282
2019-04-24,23966,49602
2019-04-23,55754,86994
2019-04-22,27385,43768
2019-04-18,32737,56457
2019-04-17,41603,80588
2019-04-16,47260,85035
2019-04-15,38508,65280
2019-04-12,47619,81045
2019-04-11,27484,45770
2019-04-10,23336,41240
2019-04-09,28810,50375
2019-04-08,25006,50999
2019-04-05,35670,55423
2019-04-04,35504,57567
2019-04-03,37516,65046
2019-04-02,19371,43735
2019-04-01,37256,75822
2019-03-29,32693,67677
2019-03-28,22650,51978
2019-03-27,28854,58926
2019-03-26,43785,94529
2019-03-25,25923,58743
2019-03-22,55493,109430
2019-03-21,30487,63701
2019-03-20,82806,134642
2019-03-19,36385,71597
2019-03-18,25726,50651
2019-03-15,61969,104288
2019-03-14,39165,66279
2019-03-13,31985,62023
2019-03-12,65696,110594
2019-03-11,32414,63791
2019-03-08,34372,61303
2019-03-07,52851,83715
2019-03-06,36914,67015
2019-03-05,58347,98050
2019-03-04,41178,76639
2019-03-01,42565,81870
2019-02-28,30985,60510
2019-02-27,25541,45053
2019-02-26,26972,58622
2019-02-25,29832,57837
2019-02-22,29083,57265
2019-02-21,55685,102961
2019-02-20,31030,57049
2019-02-19,19508,35026
2019-02-15,30919,75178
2019-02-14,25652,46002
2019-02-13,32396,65681
2019-02-12,39708,88803
2019-02-11,20222,37391
2019-02-08,25748,47121
2019-02-07,44402,78040
2019-02-06,50133,89181
2019-02-05,83921,155100
2019-02-04,59230,118777
2019-02-01,51280,79961
2019-01-31,59374,93257
2019-01-30,48265,83053
2019-01-29,25225,47824
2019-01-28,36607,52083
2019-01-25,35918,55940
2019-01-24,36799,57988
2019-01-23,36302,57873
2019-01-22,45728,78679
2019-01-18,40501,77137
2019-01-17,36950,61245
2019-01-16,44232,85217
2019-01-15,37172,76888
2019-01-14,31922,62498
2019-01-11,43241,80221
2019-01-10,29490,57659
2019-01-09,45640,84961
2019-01-08,57550,90100
2019-01-07,52147,108718
2019-01-04,70630,131131
2019-01-03,71147,103236
2019-01-02,49465,86325
2018-12-31,60458,94670
2018-12-28,67982,111196
2018-12-27,75828,125303
2018-12-26,84237,132449
2018-12-24,63727,99344
