Date,Short Volume,Total Volume
2016-04-13,77613,118677
2016-04-12,72399,118152
2016-04-11,62433,98999
2016-04-08,43723,71272
2016-04-07,55694,81206
2016-04-06,50631,75130
2016-04-05,61295,83600
2016-04-04,57006,82742
2016-04-01,70430,116205
2016-03-31,58371,111278
2016-03-30,69708,110830
2016-03-29,56008,104108
2016-03-28,38532,74062
2016-03-24,56956,100543
2016-03-23,55077,87553
2016-03-22,36558,61463
2016-03-21,54342,95741
2016-03-18,88179,136468
2016-03-17,91441,135047
2016-03-16,66954,101141
2016-03-15,55362,88941
2016-03-14,61625,92100
2016-03-11,97108,142567
2016-03-10,123484,181420
2016-03-09,87787,130892
2016-03-08,74737,149544
2016-03-07,107387,196379
2016-03-04,97510,177373
2016-03-03,82563,149460
2016-03-02,62015,120966
2016-03-01,115153,178321
2016-02-29,78905,130258
2016-02-26,86143,153719
2016-02-25,72975,115806
2016-02-24,58582,95106
2016-02-23,85194,126601
2016-02-22,53738,99805
2016-02-19,58907,98146
2016-02-18,59013,129591
2016-02-17,90176,157589
2016-02-16,74810,126949
2016-02-12,80189,144007
2016-02-11,135726,222661
2016-02-10,130319,231291
2016-02-09,174148,298473
2016-02-08,132163,226751
2016-02-05,200174,320466
2016-02-04,132406,240070
2016-02-03,238024,363508
2016-02-02,267908,392450
2016-02-01,106029,189427
2016-01-29,120655,200862
2016-01-28,129505,199258
2016-01-27,66382,102750
2016-01-26,68803,95495
2016-01-25,80246,116290
2016-01-22,127684,194852
2016-01-21,142310,190160
2016-01-20,191376,261740
2016-01-19,97946,147184
2016-01-15,102511,173669
2016-01-14,82996,133516
2016-01-13,107241,154942
2016-01-12,116733,150310
2016-01-11,78981,119289
2016-01-08,72752,111299
2016-01-07,118405,176511
2016-01-06,77505,131454
2016-01-05,65822,105016
2016-01-04,104368,159429
2015-12-31,58641,89335
2015-12-30,42355,62661
2015-12-29,72990,102956
2015-12-28,57194,77461
2015-12-24,15666,23265
2015-12-23,38127,67145
2015-12-22,59112,86138
2015-12-21,74352,108977
2015-12-18,101976,151727
2015-12-17,69075,101749
2015-12-16,106397,154791
2015-12-15,64691,139797
2015-12-14,79831,155654
2015-12-11,79650,126712
2015-12-10,44300,84215
2015-12-09,79337,150720
2015-12-08,40750,74100
2015-12-07,65300,155584
2015-12-04,59058,115712
2015-12-03,55145,102498
2015-12-02,54995,118716
2015-12-01,58288,110989
2015-11-30,42701,81708
2015-11-27,28486,43030
2015-11-25,24765,46550
2015-11-24,62104,120934
2015-11-23,43062,91224
2015-11-20,106362,165386
2015-11-19,52218,80385
2015-11-18,41397,86396
2015-11-17,43684,79314
2015-11-16,86099,150563
2015-11-13,85443,143861
2015-11-12,59457,107375
2015-11-11,64153,111990
2015-11-10,43064,56828
2015-11-09,49339,72231
2015-11-06,41621,77059
2015-11-05,54519,71904
2015-11-04,40018,70556
2015-11-03,28656,57411
2015-11-02,33586,62982
2015-10-30,37788,68260
2015-10-29,44000,63418
2015-10-28,28617,54654
2015-10-27,43080,55122
2015-10-26,48056,75406
2015-10-23,139153,209213
2015-10-22,54131,132869
2015-10-21,29854,76650
2015-10-20,39201,85731
2015-10-19,26161,43073
2015-10-16,29791,46478
2015-10-15,55538,73659
2015-10-14,37773,55023
2015-10-13,47376,79712
2015-10-12,23417,46955
2015-10-09,37229,70065
2015-10-08,39135,72244
2015-10-07,51585,89075
2015-10-06,41405,72041
2015-10-05,40448,61994
2015-10-02,61131,83561
2015-10-01,38190,70851
2015-09-30,52343,80612
2015-09-29,39900,80024
2015-09-28,41855,86579
2015-09-25,39445,87059
2015-09-24,33616,58345
2015-09-23,35585,52896
2015-09-22,52579,76763
2015-09-21,34568,50565
2015-09-18,54274,87770
2015-09-17,63195,89203
2015-09-16,21998,35439
2015-09-15,30989,58675
2015-09-14,32037,62792
2015-09-11,35367,51581
2015-09-10,31730,51246
2015-09-09,51504,74790
2015-09-08,38580,73870
2015-09-04,45491,64575
2015-09-03,39722,67610
2015-09-02,31786,46347
2015-09-01,61273,84225
2015-08-31,48153,75546
2015-08-28,47417,91926
2015-08-27,61678,90103
2015-08-26,75374,147836
2015-08-25,71984,121378
2015-08-24,158275,249972
2015-08-21,113198,165813
2015-08-20,42226,63627
2015-08-19,51898,87471
2015-08-18,18188,39832
2015-08-17,30718,45554
2015-08-14,23836,47787
2015-08-13,32119,62287
2015-08-12,58818,106340
2015-08-11,96439,149373
2015-08-10,25816,64310
2015-08-07,25700,39347
2015-08-06,39901,72250
2015-08-05,39384,65819
2015-08-04,31302,44144
2015-08-03,26300,41879
2015-07-31,29080,59536
2015-07-30,42468,69868
2015-07-29,33002,65592
2015-07-28,36064,74038
2015-07-27,60003,117300
2015-07-24,76357,132156
2015-07-23,79521,157733
2015-07-22,76533,138856
2015-07-21,81580,124968
2015-07-20,88727,137393
2015-07-17,275325,424650
2015-07-16,87126,164764
2015-07-15,34022,66700
2015-07-14,60490,102185
2015-07-13,54307,77556
2015-07-10,55185,87881
2015-07-09,34914,52082
2015-07-08,45542,63786
2015-07-07,45656,59580
2015-07-06,31676,40980
2015-07-02,59632,72821
2015-07-01,46440,62852
2015-06-30,42828,65762
2015-06-29,34619,54133
2015-06-26,39361,56385
2015-06-25,26047,45016
2015-06-24,20530,36485
2015-06-23,45019,61727
2015-06-22,41685,60023
2015-06-19,37245,59653
2015-06-18,51713,73103
2015-06-17,39134,51592
2015-06-16,26257,42448
2015-06-15,23082,36370
2015-06-12,21378,35401
2015-06-11,18460,37518
2015-06-10,24935,47789
2015-06-09,23221,51171
2015-06-08,24553,40600
2015-06-05,25743,39384
2015-06-04,19158,34869
2015-06-03,28900,44317
2015-06-02,36855,60336
2015-06-01,35881,63870
2015-05-29,71747,108924
2015-05-28,27407,49175
2015-05-27,26884,53344
2015-05-26,41544,64832
2015-05-22,30544,54674
2015-05-21,35841,62067
2015-05-20,35496,55329
2015-05-19,51531,92152
2015-05-18,33593,45129
2015-05-15,41606,65272
2015-05-14,31634,57453
2015-05-13,21998,48072
2015-05-12,28140,51792
2015-05-11,14941,24631
2015-05-08,32490,49809
2015-05-07,50034,80022
2015-05-06,62846,86685
2015-05-05,38325,61079
2015-05-04,32169,53982
2015-05-01,47066,68333
2015-04-30,42878,73092
2015-04-29,33280,56601
2015-04-28,36341,78955
2015-04-27,43970,69788
2015-04-24,113776,187787
2015-04-23,88741,135272
2015-04-22,31315,53587
2015-04-21,37658,57342
2015-04-20,47929,90059
2015-04-17,45165,83685
2015-04-16,34204,66545
2015-04-15,51122,111342
2015-04-14,48201,83395
2015-04-13,36348,60463
2015-04-10,37517,69375
2015-04-09,34020,58775
2015-04-08,26865,53605
2015-04-07,35618,60591
2015-04-06,41894,81160
2015-04-02,70726,114290
2015-04-01,44469,70756
2015-03-31,41641,66043
2015-03-30,32920,52888
2015-03-27,53835,77639
2015-03-26,76338,112448
2015-03-25,82027,113745
2015-03-24,81322,135280
2015-03-23,27979,46421
2015-03-20,43358,73597
2015-03-19,32596,53625
2015-03-18,47121,74787
2015-03-17,28858,53948
2015-03-16,52620,75859
2015-03-13,57117,82686
2015-03-12,29691,78298
2015-03-11,48589,80235
2015-03-10,54433,86746
2015-03-09,29908,58282
2015-03-06,47558,63486
2015-03-05,40407,71512
2015-03-04,40524,65737
2015-03-03,59312,97547
2015-03-02,79671,138297
2015-02-27,99951,156134
2015-02-26,61585,105221
2015-02-25,57205,94467
2015-02-24,28985,65923
2015-02-23,41423,81466
2015-02-20,53329,102656
2015-02-19,33600,62574
2015-02-18,26140,59911
2015-02-17,35441,71960
2015-02-13,62224,103543
2015-02-12,50957,100802
2015-02-11,36606,88442
2015-02-10,43621,80877
2015-02-09,31518,72468
2015-02-06,40046,80885
2015-02-05,37206,69118
2015-02-04,32373,51433
2015-02-03,67735,107980
2015-02-02,76676,131629
2015-01-30,137460,234144
2015-01-29,85383,153619
2015-01-28,49267,82725
2015-01-27,39686,73731
2015-01-26,36242,76269
2015-01-23,77051,157127
2015-01-22,60390,125782
2015-01-21,49678,86658
2015-01-20,44691,84825
2015-01-16,54677,99446
2015-01-15,59989,89921
2015-01-14,54929,98013
2015-01-13,50979,96200
2015-01-12,51445,109696
2015-01-09,34287,77736
2015-01-08,44508,97348
2015-01-07,46019,78935
2015-01-06,54623,94646
2015-01-05,36637,61361
2015-01-02,19770,39359
2014-12-31,17364,29181
2014-12-30,13092,35067
2014-12-29,15589,37653
2014-12-26,21495,41111
2014-12-24,15736,29002
2014-12-23,64744,141608
2014-12-22,81384,187443
2014-12-19,64851,132259
2014-12-18,42186,111416
2014-12-17,35318,106146
2014-12-16,61828,132436
2014-12-15,41204,94082
2014-12-12,37862,80530
2014-12-11,37888,76485
2014-12-10,33134,79035
2014-12-09,38559,88237
2014-12-08,42969,115243
2014-12-05,38460,129612
2014-12-04,26400,59922
2014-12-03,28055,58958
2014-12-02,35858,71485
2014-12-01,24762,45833
2014-11-28,14227,24950
2014-11-26,26068,42656
2014-11-25,22984,50402
2014-11-24,26032,48385
2014-11-21,30439,59613
2014-11-20,23991,45946
2014-11-19,19748,45595
2014-11-18,20649,53428
2014-11-17,26088,55064
2014-11-14,35438,57338
2014-11-13,35564,58720
2014-11-12,19442,35582
2014-11-11,22023,35577
2014-11-10,21899,40528
2014-11-07,30582,62986
2014-11-06,27660,59991
2014-11-05,33029,56133
2014-11-04,26419,48573
2014-11-03,21359,47978
2014-10-31,54727,89925
2014-10-30,23591,49485
2014-10-29,36086,58039
2014-10-28,34166,61433
2014-10-27,17519,42482
2014-10-24,55067,90349
2014-10-23,35132,66387
2014-10-22,43911,85326
2014-10-21,37965,75377
2014-10-20,48631,75283
2014-10-17,148524,246992
2014-10-16,78303,127390
2014-10-15,102758,154191
2014-10-14,59269,109247
2014-10-13,87674,132856
2014-10-10,66549,129350
2014-10-09,43676,84843
2014-10-08,44134,86163
2014-10-07,26635,45450
2014-10-06,18890,34095
2014-10-03,21172,41747
2014-10-02,26632,52948
2014-10-01,26603,43041
2014-09-30,27578,42543
2014-09-29,25884,39716
2014-09-26,31279,45184
2014-09-25,34523,50877
2014-09-24,33620,66362
2014-09-23,22220,39195
2014-09-22,34923,57276
2014-09-19,67635,113153
2014-09-18,30939,52178
2014-09-17,29516,64405
2014-09-16,26225,51257
2014-09-15,28898,56098
2014-09-12,42502,75273
2014-09-11,33074,60808
2014-09-10,19627,28708
2014-09-09,34991,57175
2014-09-08,47754,72753
2014-09-05,37899,65971
2014-09-04,40576,70643
2014-09-03,30346,62346
2014-09-02,28565,43876
2014-08-29,19887,35473
2014-08-28,27514,41437
2014-08-27,28475,45860
2014-08-26,20643,42169
2014-08-25,24440,46054
2014-08-22,25546,36935
2014-08-21,17518,43754
2014-08-20,15392,26882
2014-08-19,20185,34985
2014-08-18,22081,41660
2014-08-15,36961,62976
2014-08-14,29396,42233
2014-08-13,44992,81480
2014-08-12,24883,40199
2014-08-11,22871,42619
2014-08-08,33978,63185
2014-08-07,26359,51963
2014-08-06,27465,49379
2014-08-05,49076,69287
2014-08-04,41662,62734
2014-08-01,44143,86098
2014-07-31,41327,86250
2014-07-30,23500,49918
2014-07-29,18622,40225
2014-07-28,20605,46272
2014-07-25,19794,45021
2014-07-24,22266,50247
2014-07-23,27997,46131
2014-07-22,41951,84731
2014-07-21,37932,77498
2014-07-18,117819,181448
2014-07-17,56807,96251
2014-07-16,32847,54739
2014-07-15,39216,61343
2014-07-14,47781,80588
2014-07-11,36709,77497
2014-07-10,37364,64680
2014-07-09,32865,61885
2014-07-08,39383,78449
2014-07-07,18727,40270
2014-07-03,26118,50430
2014-07-02,17757,35515
2014-07-01,37029,64223
2014-06-30,29575,49405
2014-06-27,34394,54467
2014-06-26,48951,93384
2014-06-25,45513,95364
2014-06-24,55028,114531
2014-06-23,36430,71364
2014-06-20,53449,100807
2014-06-19,82038,149924
2014-06-18,49001,105852
2014-06-17,24984,56483
2014-06-16,48941,79280
2014-06-13,42057,68596
2014-06-12,39018,73768
2014-06-11,42058,74818
2014-06-10,44102,73209
2014-06-09,40112,67260
2014-06-06,30369,66768
2014-06-05,44604,90390
2014-06-04,76317,120955
2014-06-03,42653,80793
2014-06-02,39732,72209
2014-05-30,41834,81721
2014-05-29,40006,76110
2014-05-28,48716,75024
2014-05-27,54648,99932
2014-05-23,85321,131951
2014-05-22,53251,87295
2014-05-21,54669,77349
2014-05-20,50476,92507
2014-05-19,41386,100530
2014-05-16,48988,79830
2014-05-15,60675,103941
2014-05-14,32138,50759
2014-05-13,52809,106580
2014-05-12,38778,69778
2014-05-09,64388,111601
2014-05-08,86571,143743
2014-05-07,67500,114366
2014-05-06,35559,71082
2014-05-05,20964,57411
2014-05-02,39291,81311
2014-05-01,39386,83573
2014-04-30,35216,86644
2014-04-29,41545,90063
2014-04-28,76380,140327
2014-04-25,48805,98828
2014-04-24,41549,77698
2014-04-23,33145,60158
2014-04-22,32737,79177
2014-04-21,37671,81286
2014-04-17,118589,223325
2014-04-16,97369,178677
2014-04-15,60930,142060
2014-04-14,61146,91688
2014-04-11,60500,98827
2014-04-10,68528,118084
2014-04-09,52226,106693
2014-04-08,71461,144122
2014-04-07,60576,127452
2014-04-04,87592,202214
2014-04-03,88778,216453
