Open,High,Low,Close,Volume
14965.79,15146.74,14877.58,15097.17,29524045764
15093.55,15183.39,14678.81,14859.35,30497699492
14861.85,15123.31,14854.66,15119.23,25944861249
15117.34,15175.74,15019.41,15072.56,22903947365
15074.98,15334.11,15053.58,15319.24,25847235358
15321.59,15371.04,15159.95,15230.27,29057953268
15228.31,15762.75,15123.82,15626.5,35653050576
15619.12,15619.12,14752.29,14891.18,36578664374
14882.25,14935.11,13377.9,13462.52,41953060228
13442.9,13964.4,13392.88,13731.63,39143599633
13732.57,13822.76,12993.39,13284.56,58674733823
13281.49,13528.38,13137.36,13442.84,48475568111
13443.69,13616.2,12985.99,13579.41,44135724006
13579.07,13804.96,13105.39,13413.77,44261377878
13417.26,13616.04,13257.21,13471.4,31735098970
13471.38,13802.31,13465.86,13668.72,71760738434
13676.49,13750.36,13363.43,13705.81,59563778219
13717.6,13940.26,13562.79,13760.17,48427414393
13773.65,13938.13,13472.8,13609.86,48127166566
13616.42,14225.97,13538.2,14073.93,46716475850
14069.86,14386.76,14024.7,14244.94,42891280378
14246.01,14595.86,14125.77,14466.7,40559826885
14464.52,14573.9,14248.91,14398.2,50170584633
14401.92,14523.76,14286.54,14452.49,34784879245
14438.18,14702.96,14406.53,14650.47,30060928139
14652.48,14652.48,14280.9,14436.9,32599715870
14432.48,14476.2,13812.39,13916.7,38422277179
13913.19,14061.35,13834.7,14013.41,31410836114
14014.74,14171.45,13634.58,13690.02,30773811952
13692.18,14376.91,13669.68,14346.23,30730391058
14348.8,14405,14177.76,14325.02,28419767935
14324.95,14429.88,14300.8,14397.66,24238356562
14395.66,14465,14249.09,14417.81,24109306275
14414.08,14639.85,14314.6,14322.13,30351090986
14310.29,14534.94,14291.84,14520.83,27384922255
14516.26,14527.74,14326.82,14357.78,27630018914
14354.31,14506.5,13948.08,14115.09,36111385160
14116.5,14179.2,13905.61,14089.38,30784310446
14087.58,14127.89,14013.27,14063.2,22752982416
14066.43,14229.31,14017.74,14203.03,23325302594
14207.82,14325.21,14142.47,14325.21,25703155311
14319.61,14323.92,14061.25,14149.28,29659485440
14146.8,14175.77,14108.81,14160.03,23382370374
14158.03,14447.59,13990.62,14410.83,28973198699
,,,,
14507,15009.49,14504.66,14818.74,30011675481
14818.37,14992.49,14808.59,14949.65,26222701212
,,,,
,,,,
15019.24,15151.41,14873.19,15031.95,31700537580
15028.13,15293.71,14920.25,15206.57,32392813814
15216.46,15263.46,14834.52,14936.71,33819608008
14936.71,15021.33,14888.19,14984.18,25237820007
14981.38,15137.27,14970.29,15137.27,24100918697
15152.67,15518.49,15045.16,15487.81,31472474839
15493,15738.49,15410.27,15634.23,40561557929
15629.96,17335.79,15610.86,16869.5,57111837386
16840.49,17286.57,16747.37,17032.64,45622748696
17040.07,17085.77,16768.58,16973.62,38031827814
16973.66,17253.89,16913.51,17205.31,32213632970
17205.32,17495.55,16953.81,17133.71,32090829345
17133.75,17462.48,16947.87,17267.45,38907420539
17267.44,18160.7,17247.69,18012.41,44522265515
18012.41,18250.98,17215.99,17666.01,47744602210
17666.02,18179.57,17343.2,17893.39,75232643184
17893.38,18191.9,17525.66,18045.32,40737596436
18045.34,18686.98,17926.78,18357.66,40371241652
18357.66,18465.62,18154.36,18364.88,32691898003
18364.78,18440.32,17608.57,17915.13,40683002817
17915.08,18325.23,17616.9,18279.6,39139702792
18279.84,18650.61,18033.03,18553.15,46096830889
18553.18,20521.99,18506.03,20383.97,53454572436
20383.82,20805.15,19847.3,20332.17,52036229021
20332.17,20555.81,18839.6,19375.87,45749629555
19375.87,20368.47,19258.77,20159.37,34683510584
20159.4,20531.96,19289.88,19945.73,44424413694
19945.78,20108.08,19684.67,19926.42,33328108516
19926.42,20786.22,19922.34,20504.46,38879893288
20504.4,21424.14,20296.02,21384.43,44901307464
21384.56,21663.5,21059.31,21423.16,41486025288
21423.16,21423.16,20676.64,21095.38,36079912785
21095.38,21167.55,20750.26,20937.96,31040142543
20937.95,22017.81,20839.93,21858.82,41225976443
21819.04,23290.49,21651.43,23126.07,51122376522
23125.79,24084.8,22687.29,23303.57,64220671760
23303.38,23724.65,22793.99,23320.17,48408444478
23320.16,24518.12,23236.15,24380.23,48433475099
24380.24,24793.05,24148.55,24407.62,51912633122
24407.62,24468.81,23136.53,24036.96,54015035380
24036.98,24416.91,23533.57,24010.26,55882080993
24011.43,25214.11,23649.47,24836.84,66902714077
24832.87,25244.71,24163.85,24356.4,56834304752
24353.44,24538.08,21272.29,22332.26,79946354734
22336.54,22719.75,21455.16,22226.46,50519583951
22232.35,23195.04,21969.56,23017.67,42353805074
23020.55,23771.37,22812.02,23600.83,40422929655
23601.92,25539.69,23601.92,25498.36,62009987218
25508.67,25747.28,23775,24319.8,64196174178
24318.18,24989.98,23745.84,24803.39,48296305533
24809.64,25198.32,24462.52,25023.04,41089081929
