"0	1	2	3	4	5	6	7	8	9	10	11	12	13	14"
"1.0	9718.07	9838.33	9728.25	46248428075.0	94440884.52489999	95609579.6231	94539814.47749999	449445461422815.25	96792737.1889	95709733.8225	455007297383114.75	94638848.0625	449916270420618.75	2.1389170994084483e+21"
"1.0	9762.68	10125.87	9747.39	47166351947.0	95309920.78240001	98855628.53160001	95160649.4052	460470000825938.0	102533243.25690001	98700803.9793	477600348189568.94	95011611.8121	459748827304668.3	2.2246647559882707e+21"
"1.0	10102.09	10533.73	10009.76	61191201960.0	102052222.3681	106412688.4957	101119496.39840001	618159029408096.4	110959467.7129	105440109.2048	644571599822110.8	100195295.25760001	612509245731129.6	3.744363197309508e+21"
"1.0	10457.43	10678.71	10457.43	48819317887.0	109357842.20490001	111671862.31529999	109357842.20490001	510524599451050.44	114034847.26409999	111671862.31529999	521327338113085.75	109357842.20490001	510524599451050.44	2.3833257989519583e+21"
"1.0	10642.22	10773.18	10601.61	46430279131.0	113256846.52839999	114650551.65959999	112824665.9742	494121245173510.8	116061407.31240001	114213052.8198	500201754528506.56	112394134.59210001	492235711538000.94	2.155770820182574e+21"
"1.0	10669.92	10856.68	10657.62	46663641494.0	113847192.8064	115839907.06560001	113715952.79040001	497897321649660.5	117867500.6224	115706369.90160002	506612223335079.94	113584864.06440002	497323358859284.3	2.1774954374805586e+21"
"1.0	10836.04	10941.6	10836.04	50755776012.0	117419762.88160002	118563615.26400001	117419762.88160002	549991619097072.5	119718610.56	118563615.26400001	555349398812899.2	117419762.88160002	549991619097072.5	2.576148798580315e+21"
"1.0	10943.52	10927.05	10822.7	46408881575.0	119760629.99040002	119580390.21599999	118438433.90400001	507876523693644.0	119400421.70249999	118260184.035	507112169414103.7	117130835.29000002	502269402621752.56	2.1537842890423746e+21"
"1.0	10916.63	12314.77	10859.3	83529140534.0	119172810.55689998	134435787.6251	118546960.15899998	911856721427680.4	151653560.1529	133729781.861	1028642153973887.2	117924396.48999998	907067995800866.1	6.977117318348721e+21"
"1.0	12206.79	13105.13	11900.92	93450881605.0	149005722.10410002	159971569.8327	145272031.2468	1140735287067098.0	171744432.31689999	155963103.7196	1224685952048133.5	141631896.8464	1112151465910576.6	8.733067272751728e+21"
"1.0	12103.09	12691.06	12096.09	62856948072.0	146484787.5481	153601041.3754	146400065.9181	760763299640742.5	161063003.9236	153512203.9554	797721299398636.2	146315393.2881	760323301004238.5	3.9509959209261046e+21"
"1.0	12650.38	12847.4	12568.09	57245685298.0	160032114.14439997	162524492.012	158991114.3742	724179672380113.2	165055686.76	161467279.466	735458217297525.1	157956886.2481	719468924936940.9	3.277068485237653e+21"
"1.0	12813.78	13076.46	12596.06	66576018255.0	164192957.88840002	167558881.61879998	161403141.7068	853090451195554.0	170993806.13159996	164711874.7476	870578639670777.2	158660727.52359998	838595520501075.2	4.432366206690093e+21"
"1.0	12573.69	12618.09	12212.5	64383494855.0	158097680.2161	158655952.0521	153556189.125	809538105423365.0	159216195.2481	154098424.125	812396732594927.0	149145156.25	786283430916687.5	4.1452344097438113e+21"
"1.0	12551.5	12740.02	12452.61	60591228695.0	157540152.25	159906361.03	156298934.41500002	760510806965292.5	162308109.6004	158646500.45220003	771933465398873.9	155067495.81210002	754518940359644.0	3.6712969947697916e+21"
"1.0	12648.7	13337.79	12602.54	69930093790.0	159989611.69000003	168705704.37300003	159405747.698	884524777321573.0	177896642.08410004	168090031.9866	932712905651324.1	158824014.45160002	881296804192226.6	4.890218017478196e+21"
"1.0	13118.5	13969.81	12917.11	85388681944.0	172095042.25	183262952.48499998	169453107.535	1120171424082364.0	195155591.43609998	180449572.4491	1192863662908110.5	166851730.75210002	1102974997425661.9	7.291227004133591e+21"
"1.0	13883.13	13931.15	13611.7	72578485493.0	192741298.5969	193407966.49949998	188973000.621	1007616549302433.0	194076940.3225	189626634.455	1011101768175806.9	185278376.89000002	987916570985068.1	5.267636556457611e+21"
