Date,0,1,2,3,4
2020-04-21,0,0,0,0.068801303,0
2020-04-22,0.000638145,0.00401551,0.00028148,0.070934219,0.004758968
2020-04-23,0.005493394,0.009711295,0.004139987,0.103522793,0.009840699
2020-04-24,0.010576522,0.011735948,0.010723582,0.074775102,0.012585046
2020-04-25,0.013219937,0.013055226,0.012843945,0.069223858,0.01296924
2020-04-26,0.013616185,0.014221307,0.013667648,0.069766106,0.015361182
2020-04-27,0.015992526,0.015407219,0.016291556,0.079274715,0.016863592
2020-04-28,0.017530024,0.015204028,0.016095374,0.069174138,0.016513049
2020-04-29,0.017145363,0.034583606,0.016633626,0.155427915,0.035047592
2020-04-30,0.035601062,0.045621022,0.031952063,0.178482378,0.033211393
2020-05-01,0.034117637,0.039838514,0.034822303,0.107393372,0.041244961
2020-05-02,0.041946603,0.042021809,0.041763704,0.094354869,0.043774085
2020-05-03,0.044284035,0.045220644,0.042175041,0.116035118,0.040269368
2020-05-04,0.040849555,0.038819484,0.03653427,0.110940503,0.039913097
2020-05-05,0.040532128,0.040522243,0.040065414,0.102128676,0.041220618
2020-05-06,0.041922571,0.04887013,0.042270338,0.123828751,0.048175206
2020-05-07,0.048643045,0.05769632,0.046896517,0.159748802,0.059292352
2020-05-08,0.059581053,0.057156431,0.057111407,0.129982635,0.05773696
2020-05-09,0.058299042,0.056676173,0.054434408,0.11300985,0.052757757
2020-05-10,0.05330532,0.050445667,0.029994941,0.166255267,0.034804445
2020-05-11,0.03540723,0.03912085,0.029660224,0.147451312,0.032905383
2020-05-12,0.033700218,0.037919716,0.033651236,0.099227896,0.037717763
2020-05-13,0.038353767,0.046090666,0.039280241,0.110503201,0.047229685
2020-05-14,0.047864712,0.055120746,0.04889717,0.145339655,0.055789354
2020-05-15,0.056400057,0.0538125,0.049099677,0.119238149,0.048666654
2020-05-16,0.04937503,0.051038204,0.049069235,0.079890324,0.049617474
2020-05-17,0.050180972,0.056136843,0.050912677,0.092590675,0.055330842
2020-05-18,0.056030417,0.057359902,0.054973837,0.096830865,0.054355535
2020-05-19,0.054965984,0.053678156,0.05265538,0.088474634,0.05437143
2020-05-20,0.054898179,0.053435584,0.050189859,0.079413152,0.049791886
2020-05-21,0.050392543,0.048343787,0.038844639,0.088783989,0.041560994
2020-05-22,0.0421463,0.043242215,0.042380636,0.058331273,0.044304195
2020-05-23,0.044964951,0.044513593,0.044698211,0.051554194,0.044839747
2020-05-24,0.045510257,0.044237923,0.037692249,0.067009076,0.036218217
2020-05-25,0.036752183,0.037441692,0.036190877,0.06291884,0.038392502
2020-05-26,0.039062578,0.037261823,0.034912012,0.056086027,0.034560726
2020-05-27,0.035227559,0.039766314,0.036014695,0.06599643,0.041046062
2020-05-28,0.041737607,0.046235763,0.042158423,0.071333378,0.048072105
2020-05-29,0.048730448,0.046899103,0.046433414,0.06661354,0.046339437
2020-05-30,0.046944187,0.049248443,0.046649745,0.066057767,0.051492622
2020-05-31,0.052090113,0.049177501,0.048104645,0.050245305,0.046830025
2020-06-01,0.047488634,0.056014928,0.045626917,0.072449773,0.057973519
2020-06-02,0.058487009,0.054509775,0.044697181,0.08418904,0.044532736
2020-06-03,0.045220009,0.045079876,0.04501778,0.03975008,0.046784346
2020-06-04,0.047376197,0.048801701,0.046138404,0.042666361,0.049680194
2020-06-05,0.050277531,0.048360964,0.047529773,0.034656687,0.045949371
2020-06-06,0.046546652,0.045795305,0.046244731,0.025078483,0.045721547
2020-06-07,0.046318058,0.04547383,0.043712297,0.039196795,0.047369014
2020-06-08,0.04800018,0.04567744,0.047463006,0.028082052,0.047244147
2020-06-09,0.047907054,0.04621691,0.048459068,0.03530522,0.048448997
2020-06-10,0.049025417,0.048013234,0.048655692,0.04154569,0.049969306
2020-06-11,0.050574216,0.04881008,0.042446079,0.057173929,0.042200793
2020-06-12,0.042792742,0.043215542,0.043290665,0.032732003,0.044671779
2020-06-13,0.045280233,0.042761538,0.04470777,0.016798021,0.04456338
